,Unnamed: 0,Redshift_Ledge,Redshift_mid,Bin_width,dndz/deg^2,abacus_area_deg2
1,1,0.4375,0.45,0.025000000000000026,150.93703937671077,5285.933668865159
2,2,0.4625,0.5,0.07499999999999996,125.78086614725916,5273.252466444546
3,3,0.5375,0.575,0.07499999999999996,53.90608549168249,5261.3187599267
4,4,0.6124999999999999,0.6499999999999999,0.07499999999999996,190.4681687372781,5251.584920736732
5,5,0.6874999999999999,0.7249999999999999,0.07499999999999996,1067.3404927353133,5243.562453745201
6,6,0.7624999999999998,0.7999999999999998,0.07499999999999996,2023.275075454483,5233.464702076254
7,7,0.8374999999999998,0.8749999999999998,0.07499999999999996,2177.8058538639725,4999.475535074825
8,8,0.9124999999999998,0.9499999999999996,0.07499999999999996,2192.180809995088,4706.044051349473
9,9,0.9874999999999996,1.0249999999999997,0.07499999999999983,1588.4326524882465,4444.643422755814
10,10,1.0624999999999996,1.0999999999999996,0.07500000000000018,1318.902225029828,4225.40418587081
11,11,1.1374999999999995,1.1749999999999996,0.07499999999999972,1326.0897030953931,4024.2195978302498
12,12,1.2124999999999997,1.2499999999999996,0.07500000000000018,1013.4344072436278,3862.544102439846
13,13,1.2874999999999996,1.3249999999999995,0.07499999999999972,945.153365620836,3713.6875060837215
14,14,1.3624999999999994,1.3999999999999997,0.07500000000000018,830.1537165719079,3559.923008997593
